,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
6229,H,1.1333333333333333,1.0,L,W,D,W,D,L,-0.13333333333333333,-0.13333333333333333,-0.26666666666666666,-14.0
6230,H,1.125,1.0,L,W,L,W,L,D,-0.25,-0.3125,0.125,15.0
6231,H,1.25,2.125,L,D,L,W,W,W,0.0,1.3125,-0.5625,9.0
6232,A,0.9375,1.5,D,W,L,W,D,D,-0.125,0.25,-0.3125,10.0
6233,H,1.875,1.3125,L,L,W,W,L,L,0.8125,-0.3125,0.0625,-9.0
6234,A,0.9375,1.9375,L,W,D,D,L,W,-0.1875,1.0625,-0.1875,12.0
6235,D,1.1875,1.25,L,W,W,W,L,W,-0.3125,-0.0625,0.0,3.0
6236,A,0.6875,2.3125,L,W,L,W,W,W,-0.8125,1.375,-0.375,7.0
6237,H,1.6875,0.75,L,W,L,D,L,D,0.8125,-1.125,0.125,-17.0
6238,H,1.25,0.75,L,W,D,W,L,W,0.125,-0.75,0.1875,2.0
6239,H,0.8125,1.0625,D,L,D,W,L,L,-0.875,-0.625,-0.1875,-13.0
6240,A,0.8823529411764706,2.3529411764705883,L,D,W,W,W,W,-0.17647058823529413,1.3529411764705883,-0.6470588235294118,5.0
6241,H,0.8823529411764706,0.7058823529411765,L,L,W,L,W,L,-0.35294117647058826,-0.8235294117647058,-0.17647058823529413,8.0
6242,D,1.1764705882352942,0.9411764705882352,D,L,W,L,W,L,-0.29411764705882354,-0.35294117647058826,0.17647058823529413,8.0
6243,H,0.6470588235294118,1.2352941176470589,L,L,W,L,W,L,-0.8235294117647058,-0.4117647058823529,0.0,4.0
6244,A,1.3529411764705883,1.5882352941176472,W,L,W,W,W,D,0.2352941176470588,0.29411764705882354,0.05882352941176471,9.0
6245,H,0.9411764705882352,0.7058823529411765,W,D,L,L,D,L,-0.7647058823529411,-1.2352941176470589,0.17647058823529413,-13.0
6246,A,1.2352941176470589,1.2352941176470589,W,L,W,D,W,L,-0.17647058823529413,-0.05882352941176471,0.05882352941176471,10.0
6247,H,1.9411764705882355,2.0,W,L,L,L,W,W,0.8823529411764706,1.1764705882352942,-0.05882352941176471,2.0
6248,H,1.7647058823529411,1.0,W,L,W,L,W,L,0.9411764705882352,-0.6470588235294118,0.35294117647058826,-17.0
6249,A,1.3529411764705883,2.0,W,L,D,W,D,L,0.05882352941176471,1.1764705882352942,-0.17647058823529413,3.0
6250,H,1.8888888888888888,1.2777777777777777,L,L,W,L,W,L,1.0555555555555556,0.1111111111111111,0.1111111111111111,-12.0
6251,H,0.9444444444444444,1.0,L,L,W,W,L,L,-0.6666666666666666,-0.16666666666666666,-0.2222222222222222,0.0
6252,H,2.3888888888888893,1.1666666666666667,W,W,W,L,W,L,1.3333333333333333,-0.2777777777777778,0.5,-6.0
6253,A,0.6666666666666666,2.0,L,L,D,W,W,L,-1.2222222222222223,0.8888888888888888,-0.3888888888888889,16.0
6254,A,0.9444444444444444,1.2777777777777777,D,L,W,L,W,L,-0.3333333333333333,0.0,0.05555555555555555,-10.0
